name,smiles,150_20,NssssN,SssssN,ETA_shape_y,RNCG,AATSC1are,GhoseFilter,AATSC1se,AATSC1pe,JGI4,AATSC1i,NssssC,SssssC,AETA_eta_B,piPC8,NddsN,SIC3,JGI3,NssNH,MATS1i,AATS4v,BIC3,ATSC6s,GATS4d,n10FHRing,VE2_Dt,VE2_Dzm,VE2_DzZ,VE2_A,VE2_Dzi,VE2_Dzare,VE2_Dzpe,VE2_Dzse,VE2_D,AXp-5d,MATS1are,BCUTs-1l,VE2_Dzv,AETA_eta_BR,VE2_Dzp,NsNH2,AETA_eta_FL,SlogP_VSA5,AATSC2v,ATSC3s,SsNH2,MATS1pe,nBase,piPC7,NdCH2,Xch-7dv,ATSC8Z,ATSC4s,NssO,BCUTc-1l,ATSC7m,fMF,AATSC3s,AETA_eta_RL,SssO,GATS2c,ATSC8m,MPC10,ATS8s,HybRatio,ATSC7Z,FCSP3,GATS2se,ATSC5are,AETA_eta_L,Xch-6dv,AXp-3d,MATS4pe,MPC8,C4SP3,MPC9,AETA_beta,n10FAHRing,GATS4pe,AATSC0d,SsssN,AETA_beta_ns_d,AETA_beta_ns,SIC0,SsBr,GGI6,RotRatio,GATS2are,BIC0,MWC08,MWC06,MWC10,NdsN,MWC07,MWC09,GATS2s,NdssS,MWC05,MWC04,VE3_A,MPC7,SRW08,SRW06,SRW10,NtCH,Xpc-6d,AETA_dBeta,GATS2pe,Xc-4dv,VE3_Dzp,MWC03,VR3_Dzi,ATS8m
"4,5-dichlorophthalonitrile ",N#CC1=CC(Cl)=C(Cl)C=C1C#N,0.8308,0,0,0.32110092,0.32297322,1.09E-17,0,-3.68E-17,8.83E-17,0.07703704,-1.03E-15,0,0,0.019095255,3.8407955,0,0.73735046,0.05147059,0,-6.31E-16,275.21405,0.6391512,-7.123704,0.9367647,0,0.287057,0.2847453,0.2847317,0.26420462,0.28389695,0.28385213,0.28400627,0.28403348,0.28383374,0.0879965,1.62E-16,1.2841922,0.28362274,0.02626192,0.28383857,0,0.31389603,11.126903,-1.3898971,1.7477255,0,9.44E-16,0,4.924987,0,0.06807889,0,-11.84285,0,-0.40008748,0,0.42857143,0.069909014,0.47375587,0,0.6052172,0,0,0,0,0,0,0.70268995,0.12142653,0.15985987,0.020833334,0.20179474,-0.5629967,2,0,1,1.6666666,0,1.6572772,0.6938776,0,0.083333336,1.0833334,0.43717957,0,0,0,0.49723053,0.37895662,9.09347,7.3981743,10.789546,0,8.245122,9.941313,0.40317267,0,6.5496507,5.7071104,1.3361968,8,7.5812097,5.9839363,9.227689,0,3.932,0.5,0.6105706,0,1.4078785,4.8598123,4.0179987,0
Diphenylacetylene,C(#Cc1ccccc1)c1ccccc1,0.7882,0,0,0.14285715,0.09173456,0.000625,1,0.000164694,0.000850694,0.030222222,0.03796467,0,0,-0.002519727,6.1238623,0,0.6954739,0.008333334,0,0.028571429,181.91939,0.6321318,-1.8148148,0.9583333,0,0.2636089,0.2643817,0.2643817,0.25899377,0.2643817,0.2643817,0.2643817,0.2643817,0.26414707,0.096711,0.028571429,1.5393927,0.2643817,0.009765987,0.2643817,0,0.32311925,11.126903,-10.285426,0.30073303,0,0.028571429,0,5.8145037,0,0.032075014,-11.805555,-1.1736112,0,-0.39585197,-196.73227,0.5833333,0.006398575,0.49639213,0,1.0824891,-57.17006,16,56,0,-40.625,0,1.037594,0.06,0.17327286,0.06415003,0.21107872,0.00952381,20,0,20,1.5357143,0,0.98571426,0.3888889,0,0,1,0.21371359,0,0.001632653,0,1.037594,0.19424905,8.92572,7.342779,10.510613,0,8.131236,9.715772,0.91343445,0,6.5496507,5.765191,1.6245784,20,7.5299435,6.042633,9.049115,0,1.4817675,0.4642857,1.037594,0,1.6451683,4.9767337,4.4071145,778.8984
5-Hydroxyindole,C1=CC2=C(C=CN2)C=C1O,0.4853,0,0,0.31690142,0.5241631,-0.022406133,0,-0.013225405,-0.020074356,0.061388887,0.18433765,0,0,0.005404022,5.811667,0,1,0.046085857,0,0.12016656,146.40625,0.9165883,-5.5121107,0.92635167,0,0.3159452,0.31285483,0.31285706,0.30348325,0.31261003,0.31296548,0.3128835,0.31285247,0.31331047,0.08288581,-0.19650684,1.435824,0.31095967,0.022604022,0.30925998,0,0.30598736,0,-6.0599732,-5.653595,0,-0.18726562,0,5.5935197,0,0.076481216,0,-1.8737024,0,-0.34464294,93.143585,0.5294118,-0.16628219,0.48601735,0,0.63105667,0,0,0,0,19.439445,0,0.6977807,0.81367785,0.18002997,0.07216878,0.18694061,-0.058831394,14,0,2,1.475,0,0.98214823,0.5605536,0,0.05,0.85,0.3718024,0,0,0,0.70922387,0.34078974,9.063348,7.355641,10.77233,0,8.204946,9.914477,0.5540309,0,6.496775,5.652489,1.1101562,17,7.474772,5.8998976,9.097507,0,2.4537363,0.225,0.7024043,0,1.1290121,4.7957907,3.6073196,0
"2,4,6-TRICHLOROPHENOL, 98%",Oc1c(Cl)cc(Cl)cc1Cl,0.7946,0,0,0.3652174,0.6380325,-0.029526627,0,-0.024902841,-0.032756213,0.07492063,0.2218474,0,0,0.030515267,0,0,0.9584249,0.07692308,0,0.19828805,256.5631,0.8866484,0.39330578,0.72761196,0,0.31509247,0.31289363,0.3128521,0.29796526,0.31077406,0.31082436,0.31111547,0.31117296,0.31230175,0.08154179,-0.25499514,1.2892144,0.30981663,0.039115265,0.30889532,0,0.2729469,0,-1.7180495,-0.2979927,0,-0.20657666,0,2.7842393,0,0.08018529,0,-5.509893,0,-0.28256315,0,0.46153846,-0.012956205,0.4609061,0,0.6969998,0,0,0,0,0,0,0.7998877,0.36340415,0.1879592,0.020833334,0.2089653,-0.11923833,0,0,0,1.4,0,1.3310571,0.7928994,0,0.2,0.8,0.47990483,0,0,0,0.65104365,0.44396475,8.879473,7.2086005,10.551192,0,8.029107,9.701188,0.6513458,0,6.3578424,5.5412636,1.0918067,2,7.4389715,5.8435445,9.078065,0,3.2773697,0.2,0.6785424,0,1.1278323,4.691348,3.5711348,0
"4,4'-Diaminobenzophenone",C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)N)N,0.9288,0,0,0.32751092,0.2777019,-0.019392945,1,-0.00941895,-0.017792255,0.04777778,0.5197945,0,0,0.01559436,5.668371,0,0.7771272,0.045454547,0,0.33227223,164.84518,0.7226268,22.777779,0.87652177,0,0.24691805,0.24632277,0.2463233,0.23265861,0.24651116,0.24640101,0.2463585,0.24631837,0.24620236,0.081998095,-0.2046231,1.4665341,0.24548829,0.02634436,0.24514066,2,0.30774692,15.92144,-1.9577273,-0.16666667,11.115073,-0.19548777,0,5.537826,0,0.059852794,-44,-14.444445,0,-0.37772158,-149.24774,0.4642857,-0.002873563,0.479044,0,0.589299,-212.07733,24,77.44444,0,-32,0,0.5811852,-0.31091735,0.17129707,0.055555556,0.20029168,-0.15389228,28,0,24,1.484375,0,1.373921,0.5867347,0,0.0625,0.90625,0.30816376,0,0.24163266,0.11764706,0.5765145,0.28655204,9.420358,7.7323694,11.111866,0,8.573007,10.263781,0.5866005,0,6.886532,6.052089,1.7844093,32,7.9021177,6.3332796,9.508592,0,4.224437,0.328125,0.58796644,0,1.8366692,5.209486,4.753776,1023.042
4-iodotoluene,CC1=CC=C(C=C1)I,0.2753,0,0,0.19444445,0.16704206,4.67E-17,0,5.56E-17,4.98E-17,0.15111111,8.61E-16,0,0,0.015814982,0,0,0.91886324,0.035714287,0,5.67E-16,128.36378,0.8609023,0.50737673,0.6788793,0,0.35248417,0.3490518,0.3490315,0.34275502,0.34700042,0.34687486,0.34728035,0.34720975,0.3496717,0.108728155,2.10E-15,1.0053092,0.34804866,0.026564984,0.34872854,0,0.2468413,5.5634513,6.8713727,-1.7176573,0,1.48E-15,0,0,0,0.0982073,0,-1.1118128,0,-0.31630796,0,0.4,-0.06361694,0.47346172,0,0.92924863,0,0,0,0.14285715,0,0.14285715,0.8149872,0.070238665,0.22662042,0.027777778,0.23045304,-0.123196445,0,0,0,1.3125,0,1.1013805,0.51555556,0,0.0625,0.8125,0.32933933,0,0,0,1.0135466,0.30856493,8.217439,6.6707664,9.765891,0,7.4389715,8.98932,0.8635056,0,5.888878,5.1298985,0.78555864,0,6.9402223,5.4510384,8.46316,0,1.1380712,0.3125,0.79292685,0,0.80283654,4.3438053,2.9867675,0
"(1R,2S)-(-)-N-Methylephedrine",CC(C(C1=CC=CC=C1)O)N(C)C,0.9968,0,0,0.30481285,0.35790116,-0.001606445,1,-0.002131458,-0.000887889,0.03931624,-0.2652688,0,0,0.022178147,3.944006,0,0.81645167,0.05514706,0,-0.19615872,127.30618,0.79419625,-3.3249383,0.9890756,0,0.27347365,0.2738421,0.27384275,0.25503066,0.27403978,0.2739328,0.27388346,0.27383703,0.2736059,0.08843275,-0.019755118,1.2059747,0.27269033,0.02879353,0.27198642,0,0.21985415,18.591156,6.109798,4.522963,0,-0.011013547,1,4.1763086,0,0.018518519,27.502222,-1.2212346,0,-0.377847,-73.15777,0.2,0.06852974,0.4712229,0,1.4308972,130.28072,0,31,0.45454547,-14.675555,0.45454547,1.2453312,-0.8421299,0.25136876,0.032075014,0.21371557,-0.054012265,8,0,4,1.0384616,0,1.2149419,0.51222223,2.011574,0,0.46153846,0.2694585,0,0.12244898,0.23076923,1.2868336,0.26211342,9.022444,7.37086,10.676485,0,8.193953,9.847711,0.8995907,0,6.543912,5.7268476,1.4609421,12,7.5637197,6.0185933,9.147081,0,3.4296787,-0.115384616,1.2389874,0,1.5253105,4.905275,4.194052,112.097664
2-Amino-5-bromobenzoic acid,C1=CC(=C(C=C1Br)C(=O)O)N,0.9039,0,0,0.33898306,0.37106252,-0.0452436,0,-0.027659252,-0.042252943,0.06533334,0.5292913,0,0,0.02774115,3.1688974,0,0.9712176,0.06696428,0,0.3602902,182.06308,0.90380895,-2.0292854,1.1221122,0,0.30000314,0.29748338,0.29748103,0.28082934,0.2966169,0.29680488,0.296824,0.29680103,0.29736772,0.09490933,-0.26869616,1.0438418,0.2954366,0.035559334,0.29430714,1,0.2735539,10.357988,1.2842516,-4.319048,5.388704,-0.26528913,0,4.239076,0,0.07316258,0,5.677532,0,-0.32771114,136.88725,0.3529412,-0.13932413,0.46446007,0,0.5063268,0,0,0,0,27.408304,0,0.4290133,-1.0098743,0.19090618,0.024056261,0.19862051,0.014921478,2,0,0,1.3409091,0,1.0438424,0.6989619,0,0.09090909,0.77272725,0.46520457,3.1456945,0,0.09090909,0.39965147,0.43291643,8.939188,7.2717037,10.608242,0,8.098947,9.770013,0.4014329,0,6.4281054,5.609472,1.2231973,7,7.474772,5.8998976,9.096388,0,3.625836,0.20454545,0.41401505,0,1.2700741,4.762174,3.7978983,0
"alpha, alpha-Dipyridyl (the name is good)",C1=CC=NC(=C1)C2=CC=CC=N2,0.7056,0,0,0.1724138,0.32555538,0.003609,0,0.00073024,0.004641,0.006222222,-0.31776145,0,0,-0.004342745,5.6144958,0,0.7686218,0.026785715,0,-0.19092925,189.1394,0.69863445,-2.2222223,1.3902439,0,0.28607422,0.28591043,0.2859105,0.27356547,0.28590602,0.28591272,0.2859126,0.28591007,0.28539327,0.091359936,0.05593528,1.5014491,0.28600428,0.009990589,0.28590825,0,0.33632043,0,-9.937772,1.2222222,0,0.07169893,0,5.432903,0,0.0248452,26.66,-0.8888889,0,-0.38337648,66.5936,0.6,0.032163743,0.49719387,0,1.3245592,127.882645,8,8,0,14.15,0,1.146475,-0.477315,0.16087346,0.0496904,0.19831632,-0.18294221,16,0,12,1.625,0,1.2848852,0.41,0,0,1,0.31489742,0,0.078367345,0.07692308,1.086623,0.28622425,8.9668665,7.3231707,10.612779,0,8.144098,9.789367,1.0802951,0,6.50279,5.6869755,1.3710139,20,7.497207,5.9584246,9.076466,0,2.1213202,0.375,1.0472653,0,1.4151438,4.8751974,4.0370297,28.278433
(R)-(?)-2-Phenylbutyric acid,CC[C@@H](C(=O)O)c1ccccc1,0.9772,0,0,0.2647059,0.4103133,-0.009722223,1,-0.005775889,-0.009239931,0.027008547,0.095547065,0,0,0.013416225,4.123094,0,0.89540285,0.0625,0,0.071733296,159.39044,0.8539807,-4.4658084,1.2900641,0,0.28508776,0.28453818,0.28453872,0.265467,0.28447774,0.28456512,0.28454527,0.28453758,0.28453058,0.094577275,-0.078475334,1.2412642,0.28388795,0.020582892,0.28301153,0,0.23572497,24.825916,-4.385799,-7.3249903,0,-0.07891241,0,4.2749286,0,0.018518519,28.444445,-2.2417052,0,-0.33369154,82.71306,0.25,-0.13820736,0.4794349,0,0.55851346,136.13445,0,4,0.3,16.88889,0.3,0.31924456,-1.9688889,0.24370992,0.032075014,0.19905767,-0.05324135,6,0,0,1.1666666,0,1.0990472,0.5,0,0,0.625,0.28899065,0,0.12,0.25,0.37613508,0.27562168,8.8930235,7.2520537,10.535317,0,8.064951,9.70729,0.37982205,0,6.424869,5.616771,1.3409634,10,7.4295206,5.888878,9.012499,0,2.8025794,0.083333336,0.42525738,0,1.4049605,4.7957907,4.000772,4.064256
"3-AMINOPHENOL, 98%",Nc1cccc(O)c1,0.3224,0,0,0.26785713,0.4969409,-0.03775911,0,-0.020750009,-0.034740444,0.074074075,0.51744413,0,0,0.015814982,0,0,0.9658723,0.071428575,0,0.34832644,102.05406,0.9049461,3.9506173,1.018319,0,0.3526438,0.34890968,0.34891236,0.34209186,0.34893093,0.3491096,0.34898075,0.34890205,0.35025185,0.097140454,-0.2925289,1.5142019,0.34648922,0.026564984,0.34497118,1,0.30786934,0,-6.2002783,-11,5.298611,-0.28736866,0,0,0,0.028460108,0,11.444445,0,-0.28836322,0,0.4,-0.4074074,0.47346172,0,0.51411265,0,0,0,0,0,0,0.62004083,-0.89033866,0.16559239,0.027777778,0.21985847,0.24954964,0,0,0,1.4375,0,0.74958825,0.51555556,0,0.125,0.875,0.4000129,0,0,0,0.598148,0.3747805,8.244071,6.690842,9.7981825,0,7.4413204,8.995289,0.5570361,0,5.888878,5.1416636,0.78362197,0,6.947937,5.4510384,8.479907,0,1.02022,0.3125,0.5986658,0,0.7920036,4.3438053,2.9748778,0
